,gene_id,disease_count,gene_name,gene_symbol,organism,other_symbols,synonyms
0,7124,165,,,,,
1,4000,149,,,,,
2,5728,147,,,,,
3,6648,129,,,,,
4,3845,117,,,,,
5,2263,114,,,,,
6,3569,112,,,,,
7,7157,111,,,,,
8,673,109,,,,,
9,5290,109,,,,,
10,5743,104,,,,,
11,7040,100,,,,,
12,3265,99,,,,,
13,1280,97,,,,,
14,5443,96,,,,,
15,207,93,,,,,
16,2261,93,,,,,
17,2316,92,,,,,
18,3553,91,,,,,
19,2629,89,,,,,
20,4524,88,,,,,
21,2260,86,,,,,
22,3458,85,,,,,
23,8626,85,,,,,
24,2006,84,,,,,
25,2778,81,,,,,
26,2200,80,,,,,
27,2697,79,,,,,
28,2033,78,,,,,
29,4893,78,,,,,
30,3630,77,,,,,
31,2074,76,,,,,
32,7015,74,,,,,
33,6647,74,,,,,
34,6392,74,,,,,
35,7422,73,,,,,
36,1387,72,,,,,
37,5979,72,,,,,
38,5428,72,,,,,
39,3123,72,,,,,
40,2068,72,,,,,
41,1277,72,,,,,
42,5468,70,,,,,
43,5573,69,,,,,
44,6899,68,,,,,
45,4204,68,,,,,
46,3440,67,,,,,
47,55636,67,,,,,
48,183,67,,,,,
49,4843,67,,,,,
50,857,66,,,,,
51,5781,66,,,,,
52,7048,66,,,,,
53,213,65,,,,,
54,847,65,,,,,
55,3586,65,,,,,
56,3162,64,,,,,
57,1440,64,,,,,
58,2218,64,,,,,
59,8481,63,,,,,
60,4318,63,,,,,
61,6774,63,,,,,
62,355,63,,,,,
63,1717,63,,,,,
64,2332,62,,,,,
65,1636,61,,,,,
66,1029,61,,,,,
67,4567,61,,,,,
68,348,60,,,,,
69,9968,60,,,,,
70,1281,60,,,,,
71,6347,60,,,,,
72,1906,60,,,,,
73,3479,60,,,,,
74,5830,59,,,,,
75,3106,59,,,,,
76,5189,59,,,,,
77,29954,59,,,,,
78,4846,59,,,,,
79,3717,58,,,,,
80,6390,58,,,,,
81,10269,58,,,,,
82,595,58,,,,,
83,472,58,,,,,
84,9215,58,,,,,
85,5444,57,,,,,
86,546,57,,,,,
87,4854,57,,,,,
88,9401,57,,,,,
89,2072,57,,,,,
90,1493,57,,,,,
91,1499,57,,,,,
92,627,57,,,,,
93,2969,57,,,,,
94,5327,57,,,,,
95,596,56,,,,,
96,5621,56,,,,,
97,4221,55,,,,,
98,55624,55,,,,,
99,4313,55,,,,,
100,5328,54,,,,,
101,10743,54,,,,,
102,6335,54,,,,,
103,9569,54,,,,,
104,9049,54,,,,,
105,5828,54,,,,,
106,10585,54,,,,,
107,538,53,,,,,
108,3576,53,,,,,
109,3481,53,,,,,
110,26608,53,,,,,
111,540,53,,,,,
112,3984,53,,,,,
113,1956,53,,,,,
114,4540,53,,,,,
115,4089,53,,,,,
116,5982,53,,,,,
117,7461,53,,,,,
118,9031,53,,,,,
119,7099,52,,,,,
120,54903,52,,,,,
121,26277,51,,,,,
122,2623,51,,,,,
123,6662,50,,,,,
124,1312,50,,,,,
125,5159,50,,,,,
126,617,50,,,,,
127,3557,50,,,,,
128,4763,50,,,,,
129,54880,50,,,,,
130,2317,49,,,,,
131,367,49,,,,,
132,5080,49,,,,,
133,5894,49,,,,,
134,196,49,,,,,
135,4575,48,,,,,
136,2073,48,,,,,
137,4952,48,,,,,
138,3043,48,,,,,
139,4541,48,,,,,
140,9469,48,,,,,
141,4535,48,,,,,
142,324,48,,,,,
143,7490,48,,,,,
144,7428,47,,,,,
145,3643,47,,,,,
146,3954,47,,,,,
147,1301,47,,,,,
148,9723,47,,,,,
149,7248,47,,,,,
150,7468,47,,,,,
151,4853,47,,,,,
152,7249,47,,,,,
153,2706,47,,,,,
154,25836,47,,,,,
155,6023,47,,,,,
156,5194,47,,,,,
157,60,46,,,,,
158,23411,46,,,,,
159,23322,46,,,,,
160,8517,46,,,,,
161,26191,46,,,,,
162,1813,46,,,,,
163,2720,46,,,,,
164,2717,46,,,,,
165,6389,46,,,,,
166,5190,46,,,,,
167,4514,46,,,,,
168,1278,46,,,,,
169,26580,45,,,,,
170,4574,45,,,,,
171,4558,45,,,,,
172,4512,45,,,,,
173,1356,45,,,,,
174,5193,45,,,,,
175,1736,45,,,,,
176,5604,45,,,,,
177,8398,45,,,,,
178,351,45,,,,,
179,5727,45,,,,,
180,9896,44,,,,,
181,5192,44,,,,,
182,55670,44,,,,,
183,182,44,,,,,
184,5155,44,,,,,
185,2056,44,,,,,
186,551,44,,,,,
187,2099,44,,,,,
188,3425,44,,,,,
189,3930,44,,,,,
190,3952,44,,,,,
191,59,43,,,,,
192,5824,43,,,,,
193,6833,43,,,,,
194,7466,43,,,,,
195,5663,43,,,,,
196,23522,43,,,,,
197,4436,43,,,,,
198,51259,43,,,,,
199,6391,43,,,,,
200,4566,43,,,,,
201,11277,42,,,,,
202,54209,42,,,,,
203,4088,42,,,,,
204,2353,42,,,,,
205,7020,42,,,,,
206,4598,42,,,,,
207,5195,42,,,,,
208,4625,42,,,,,
209,3339,42,,,,,
210,9409,42,,,,,
211,6497,42,,,,,
212,3593,42,,,,,
213,8314,42,,,,,
214,3815,42,,,,,
215,2950,42,,,,,
216,4572,42,,,,,
217,5191,42,,,,,
218,7840,42,,,,,
219,4210,42,,,,,
220,8799,42,,,,,
221,4292,42,,,,,
222,2719,41,,,,,
223,2067,41,,,,,
224,3077,41,,,,,
225,3767,41,,,,,
226,8504,41,,,,,
227,8085,41,,,,,
228,1401,41,,,,,
229,8195,41,,,,,
230,1289,41,,,,,
231,6261,41,,,,,
232,51360,41,,,,,
233,5243,41,,,,,
234,2071,41,,,,,
235,3239,41,,,,,
236,5925,41,,,,,
237,4137,41,,,,,
238,8200,40,,,,,
239,2239,40,,,,,
240,25942,40,,,,,
241,5015,40,,,,,
242,3383,40,,,,,
243,4609,40,,,,,
244,1130,40,,,,,
245,51085,40,,,,,
246,4683,40,,,,,
247,7132,39,,,,,
248,1756,39,,,,,
249,4578,39,,,,,
250,5832,39,,,,,
251,4851,39,,,,,
252,4538,39,,,,,
253,5295,39,,,,,
254,5617,39,,,,,
255,8260,39,,,,,
256,2146,39,,,,,
257,7415,39,,,,,
258,875,39,,,,,
259,1497,39,,,,,
260,7403,39,,,,,
261,1161,38,,,,,
262,10806,38,,,,,
263,26227,38,,,,,
264,4621,38,,,,,
265,701,38,,,,,
266,5447,38,,,,,
267,25978,38,,,,,
268,4041,38,,,,,
269,2737,38,,,,,
270,3592,38,,,,,
271,8878,38,,,,,
272,5972,38,,,,,
273,2147,38,,,,,
274,1376,38,,,,,
275,6663,38,,,,,
276,7276,38,,,,,
277,846,38,,,,,
278,4513,38,,,,,
279,3115,37,,,,,
280,2626,37,,,,,
281,6103,37,,,,,
282,5373,37,,,,,
283,1294,37,,,,,
284,2956,37,,,,,
285,2290,37,,,,,
286,3663,37,,,,,
287,1482,37,,,,,
288,5745,37,,,,,
289,1490,37,,,,,
290,2668,36,,,,,
291,175,36,,,,,
292,6197,36,,,,,
293,1437,36,,,,,
294,51816,36,,,,,
295,6531,36,,,,,
296,7012,36,,,,,
297,335,36,,,,,
298,3981,36,,,,,
299,567,36,,,,,
300,7042,36,,,,,
301,1027,36,,,,,
302,2512,35,,,,,
303,5465,35,,,,,
304,4352,35,,,,,
305,1806,35,,,,,
306,55572,35,,,,,
307,10804,35,,,,,
308,26160,35,,,,,
309,9742,35,,,,,
310,4758,35,,,,,
311,1836,35,,,,,
312,3039,35,,,,,
313,249,35,,,,,
314,6331,35,,,,,
315,2153,34,,,,,
316,5020,34,,,,,
317,6323,34,,,,,
318,7508,34,,,,,
319,3558,34,,,,,
320,6513,34,,,,,
321,4803,34,,,,,
322,9897,34,,,,,
323,2812,34,,,,,
324,1146,34,,,,,
325,8600,34,,,,,
326,3240,34,,,,,
327,10084,34,,,,,
328,5395,34,,,,,
329,4722,34,,,,,
330,3552,34,,,,,
331,6657,34,,,,,
332,6696,34,,,,,
333,6223,34,,,,,
334,3295,34,,,,,
335,860,34,,,,,
336,773,34,,,,,
337,10908,34,,,,,
338,7169,33,,,,,
339,29925,33,,,,,
340,6622,33,,,,,
341,4668,33,,,,,
342,5594,33,,,,,
343,4724,33,,,,,
344,1282,33,,,,,
345,54790,33,,,,,
346,3953,33,,,,,
347,26137,33,,,,,
348,2944,33,,,,,
349,3565,33,,,,,
350,545,32,,,,,
351,25974,32,,,,,
352,5961,32,,,,,
353,10312,32,,,,,
354,10262,32,,,,,
355,2138,32,,,,,
356,5265,32,,,,,
357,4878,32,,,,,
358,2643,32,,,,,
359,10815,32,,,,,
360,51750,32,,,,,
361,5173,32,,,,,
362,5144,32,,,,,
363,5116,32,,,,,
364,1392,32,,,,,
365,8289,32,,,,,
366,8842,32,,,,,
367,7253,32,,,,,
368,6654,32,,,,,
369,1588,32,,,,,
370,7507,32,,,,,
371,4353,32,,,,,
372,9640,32,,,,,
373,7439,32,,,,,
374,4564,32,,,,,
375,1268,32,,,,,
376,9420,31,,,,,
377,1302,31,,,,,
378,5339,31,,,,,
379,10516,31,,,,,
380,7518,31,,,,,
381,585,31,,,,,
382,695,31,,,,,
383,6121,31,,,,,
384,3172,31,,,,,
385,4593,31,,,,,
386,7287,31,,,,,
387,5551,31,,,,,
388,2627,31,,,,,
389,1593,31,,,,,
390,23418,31,,,,,
391,6311,31,,,,,
392,5184,31,,,,,
393,5156,31,,,,,
394,950,31,,,,,
395,51741,31,,,,,
396,8924,31,,,,,
397,4729,31,,,,,
398,4693,31,,,,,
399,3091,31,,,,,
400,10060,31,,,,,
401,55651,31,,,,,
402,5660,31,,,,,
403,5913,31,,,,,
404,3691,31,,,,,
405,6535,31,,,,,
406,478,31,,,,,
407,4723,31,,,,,
408,2896,31,,,,,
409,590,30,,,,,
410,5073,30,,,,,
411,9451,30,,,,,
412,1536,30,,,,,
413,1026,30,,,,,
414,6925,30,,,,,
415,547,30,,,,,
416,23545,30,,,,,
417,9370,30,,,,,
418,3977,30,,,,,
419,55315,30,,,,,
420,2247,30,,,,,
421,9227,30,,,,,
422,5605,30,,,,,
423,5696,30,,,,,
424,26503,30,,,,,
425,23384,30,,,,,
426,8216,30,,,,,
427,4780,30,,,,,
428,7421,30,,,,,
429,427,29,,,,,
430,7337,29,,,,,
431,24,29,,,,,
432,999,29,,,,,
433,7291,29,,,,,
434,3784,29,,,,,
435,4010,29,,,,,
436,368,29,,,,,
437,1487,29,,,,,
438,8820,29,,,,,
439,4286,29,,,,,
440,23556,29,,,,,
441,5896,29,,,,,
442,5340,29,,,,,
443,5351,29,,,,,
444,53834,29,,,,,
445,6863,29,,,,,
446,54551,29,,,,,
447,6775,29,,,,,
448,5076,29,,,,,
449,1586,29,,,,,
450,6772,29,,,,,
451,5631,29,,,,,
452,55612,29,,,,,
453,4852,29,,,,,
454,3082,29,,,,,
455,55505,29,,,,,
456,3559,29,,,,,
457,1639,29,,,,,
458,841,29,,,,,
459,6469,29,,,,,
460,1352,29,,,,,
461,3040,29,,,,,
462,2645,29,,,,,
463,51604,29,,,,,
464,8243,29,,,,,
465,10479,29,,,,,
466,1406,28,,,,,
467,7046,28,,,,,
468,51715,28,,,,,
469,25782,28,,,,,
470,4920,28,,,,,
471,23600,28,,,,,
472,3861,28,,,,,
473,9632,28,,,,,
474,5970,28,,,,,
475,3423,28,,,,,
476,94,28,,,,,
477,2542,28,,,,,
478,3119,28,,,,,
479,4519,28,,,,,
480,27031,28,,,,,
481,338,28,,,,,
482,5095,28,,,,,
483,4312,28,,,,,
484,7133,28,,,,,
485,7469,28,,,,,
486,54968,28,,,,,
487,100,28,,,,,
488,51057,28,,,,,
489,5096,28,,,,,
490,5077,28,,,,,
491,5167,28,,,,,
492,26229,28,,,,,
493,5264,28,,,,,
494,4508,28,,,,,
495,2517,28,,,,,
496,4990,28,,,,,
497,1728,28,,,,,
498,22930,28,,,,,
499,7353,28,,,,,
500,3614,27,,,,,
501,1535,27,,,,,
502,229,27,,,,,
503,5897,27,,,,,
504,7167,27,,,,,
505,1786,27,,,,,
506,58,27,,,,,
507,5831,27,,,,,
508,3651,27,,,,,
509,582,27,,,,,
510,6598,27,,,,,
511,1080,27,,,,,
512,2064,27,,,,,
513,8573,27,,,,,
514,50964,27,,,,,
515,8929,27,,,,,
516,1910,27,,,,,
517,6338,27,,,,,
518,675,27,,,,,
519,836,27,,,,,
520,1643,27,,,,,
521,2132,27,,,,,
522,4790,27,,,,,
523,11200,27,,,,,
524,6532,27,,,,,
525,1832,27,,,,,
526,2990,27,,,,,
527,1131,27,,,,,
528,1374,27,,,,,
529,686,27,,,,,
530,6334,27,,,,,
531,26040,27,,,,,
532,2022,27,,,,,
533,1789,27,,,,,
534,1186,27,,,,,
535,3897,27,,,,,
536,7043,27,,,,,
537,6016,27,,,,,
538,2243,27,,,,,
539,4128,27,,,,,
540,4072,27,,,,,
541,4023,26,,,,,
542,2314,26,,,,,
543,2632,26,,,,,
544,5376,26,,,,,
545,2175,26,,,,,
546,4719,26,,,,,
547,5580,26,,,,,
548,2876,26,,,,,
549,4720,26,,,,,
550,3949,26,,,,,
551,1134,26,,,,,
552,10560,26,,,,,
553,1235,26,,,,,
554,477,26,,,,,
555,421,26,,,,,
556,3606,26,,,,,
557,210,26,,,,,
558,4976,26,,,,,
559,4988,26,,,,,
560,2736,26,,,,,
561,5244,26,,,,,
562,4233,26,,,,,
563,4867,26,,,,,
564,8450,26,,,,,
565,7399,26,,,,,
566,7054,26,,,,,
567,7018,26,,,,,
568,6927,26,,,,,
569,1030,26,,,,,
570,6834,26,,,,,
571,6794,26,,,,,
572,6792,26,,,,,
573,1028,26,,,,,
574,6678,26,,,,,
575,6017,26,,,,,
576,7401,26,,,,,
577,7454,26,,,,,
578,5648,26,,,,,
579,6340,26,,,,,
580,6329,26,,,,,
581,7200,26,,,,,
582,3690,25,,,,,
583,3315,25,,,,,
584,3284,25,,,,,
585,3145,25,,,,,
586,7298,25,,,,,
587,7290,25,,,,,
588,3030,25,,,,,
589,356,25,,,,,
590,6309,25,,,,,
591,7227,25,,,,,
592,3756,25,,,,,
593,3758,25,,,,,
594,6948,25,,,,,
595,1410,25,,,,,
596,10682,25,,,,,
597,4548,25,,,,,
598,6658,25,,,,,
599,4613,25,,,,,
600,652,25,,,,,
601,4842,25,,,,,
602,4914,25,,,,,
603,4982,25,,,,,
604,6908,25,,,,,
605,6239,25,,,,,
606,2554,25,,,,,
607,215,25,,,,,
608,19,25,,,,,
609,1565,25,,,,,
610,10002,25,,,,,
611,1674,25,,,,,
612,5744,25,,,,,
613,1543,25,,,,,
614,1908,25,,,,,
615,5595,25,,,,,
616,23230,25,,,,,
617,2335,25,,,,,
618,1644,25,,,,,
619,7170,24,,,,,
620,720,24,,,,,
621,4784,24,,,,,
622,1230,24,,,,,
623,4771,24,,,,,
624,4728,24,,,,,
625,4715,24,,,,,
626,429,24,,,,,
627,6575,24,,,,,
628,4125,24,,,,,
629,6495,24,,,,,
630,4638,24,,,,,
631,4629,24,,,,,
632,1571,24,,,,,
633,2178,24,,,,,
634,4297,24,,,,,
635,2177,24,,,,,
636,2176,24,,,,,
637,6597,24,,,,,
638,11285,24,,,,,
639,4534,24,,,,,
640,1947,24,,,,,
641,6638,24,,,,,
642,6655,24,,,,,
643,4864,24,,,,,
644,6326,24,,,,,
645,1716,24,,,,,
646,5071,24,,,,,
647,1355,24,,,,,
648,796,24,,,,,
649,50814,24,,,,,
650,50939,24,,,,,
651,51,24,,,,,
652,5054,24,,,,,
653,10019,24,,,,,
654,6324,24,,,,,
655,27077,24,,,,,
656,8642,24,,,,,
657,2688,24,,,,,
658,54941,24,,,,,
659,8803,24,,,,,
660,3035,24,,,,,
661,10225,24,,,,,
662,23495,24,,,,,
663,8813,24,,,,,
664,2516,24,,,,,
665,55135,24,,,,,
666,641,24,,,,,
667,4998,23,,,,,
668,4879,23,,,,,
669,6609,23,,,,,
670,4594,23,,,,,
671,51103,23,,,,,
672,4929,23,,,,,
673,4694,23,,,,,
674,50484,23,,,,,
675,4615,23,,,,,
676,1723,23,,,,,
677,6341,23,,,,,
678,4726,23,,,,,
679,6556,23,,,,,
680,4709,23,,,,,
681,4695,23,,,,,
682,1890,23,,,,,
683,2670,23,,,,,
684,1950,23,,,,,
685,1292,23,,,,,
686,7299,23,,,,,
687,7305,23,,,,,
688,3356,23,,,,,
689,7432,23,,,,,
690,3329,23,,,,,
691,25915,23,,,,,
692,7473,23,,,,,
693,1291,23,,,,,
694,8743,23,,,,,
695,7274,23,,,,,
696,29851,23,,,,,
697,29110,23,,,,,
698,29078,23,,,,,
699,1380,23,,,,,
700,28952,23,,,,,
701,2879,23,,,,,
702,8425,23,,,,,
703,2641,23,,,,,
704,9126,23,,,,,
705,5624,23,,,,,
706,2052,23,,,,,
707,2245,23,,,,,
708,1144,23,,,,,
709,2100,23,,,,,
710,4358,23,,,,,
711,4306,23,,,,,
712,142,23,,,,,
713,6913,23,,,,,
714,940,23,,,,,
715,6945,23,,,,,
716,3852,23,,,,,
717,23426,23,,,,,
718,7068,23,,,,,
719,3759,23,,,,,
720,930,23,,,,,
721,22909,23,,,,,
722,22931,23,,,,,
723,7139,23,,,,,
724,7148,23,,,,,
725,3575,23,,,,,
726,10461,23,,,,,
727,7273,23,,,,,
728,5424,23,,,,,
729,613,23,,,,,
730,6010,23,,,,,
731,55630,23,,,,,
732,5354,23,,,,,
733,10397,23,,,,,
734,54902,23,,,,,
735,5885,23,,,,,
736,51752,23,,,,,
737,5949,23,,,,,
738,10555,23,,,,,
739,30008,22,,,,,
740,4705,22,,,,,
741,4591,22,,,,,
742,6608,22,,,,,
743,26154,22,,,,,
744,3418,22,,,,,
745,1591,22,,,,,
746,2796,22,,,,,
747,2273,22,,,,,
748,25970,22,,,,,
749,775,22,,,,,
750,3052,22,,,,,
751,861,22,,,,,
752,7431,22,,,,,
753,2657,22,,,,,
754,2776,22,,,,,
755,9990,22,,,,,
756,7436,22,,,,,
757,2121,22,,,,,
758,583,22,,,,,
759,4704,22,,,,,
