food_id,display_name,syn_count
Plant ID:3712,Wild cabbage,21
PlantDer ID: 64,Wild cabbage butter,21
Plant ID:3711,Mizuna,18
Plant ID:29667,June grass,18
PlantDer ID: 198,June grass seed,18
Seafood ID:7962,Jian carp,17
Plant ID:3656,Persian melo,16
Plant ID:29674,Wire gra,15
Plant ID:4641,Agutay,14
Seafood ID:27706,Largemouth bass,12
Seafood ID:225060,Northern spotted bas,12
Seafood ID:30962,Paiute cutthroat trout,12
MeatEgg ID:9031,Chicken,12
Plant ID:3663,Vegetable marrow,10
Plant ID:153317,Hoary cres,10
Plant ID:90396,Deccan grass,9
Plant ID:3726,Rat tail radish,9
Plant ID:4054,Korean ginseng,9
Seafood ID:533315,Harry hotlip,9
Seafood ID:75562,Western bream,9
