display_name,positive_count,negative_count
Cow milk,143,106
Milkfat,81,24
Yogurt,73,13
Kefir,48,0
Camel milk,41,4
Cheese,40,82
Goat milk,27,21
Milk and milk product,21,14
Milk powder,14,12
Curd,13,10
Skimmed milk,8,4
Ghee,8,14
Butter,6,51
Condensed milk,5,2
Buffalo milk,4,0
Buttermilk,4,1
Sheep milk,4,6
Butterfat,3,3
Ricotta cheese,2,0
Swiss cheese,2,0
Evaporated milk,2,1
Camembert cheese,1,0
Ymer,1,1
Dried milk,1,1
Paneer,0,2
Dairy and dairy product,0,1
Goat cheese,0,4
Sheep cheese,0,7
Gruyere cheese,0,2
Feta cheese,0,1
Cream cheese,0,1
Cheddar cheese,0,1
Blue cheese,0,1
Cottage cheese,0,1
