display_name,positive_count,negative_count
Safflower,58,5
Black cumin seed,52,0
Garlic oil,46,3
Fenugreek seed,35,2
Castor bean,34,29
Great burdock,32,2
Gingelly oil,30,15
Lavender oil,29,1
Soybean oil,27,15
Peganum harmala,24,1
Peppermint oil,23,8
Black cumin oil,22,0
Noble cane,21,12
Passiflora incarnata,21,2
Kuko,20,0
Atractylodes lancea,20,0
Copaiba oil,19,0
Clove oil,19,3
Annual rape oil,18,29
Sinomenium acutum,17,1
Rubia cordifolia,17,0
Gum arabic,15,8
Rooibo tea,15,0
Zakuro seed,14,2
Mudar,13,1
Lindera obtusiloba,13,0
Lythrum salicaria,12,0
Argemone mexicana,12,1
Maritime pine,12,1
Bai hua,12,1
Mbele,12,0
Commiphora wightii,11,0
Neem oil,11,9
Gingelly seed,11,6
Camel's foot tree,11,0
White birch,10,4
Soybean seed,10,0
Copaiba,10,1
Flax seed,10,1
Garcinia kola seed,9,0
Camphor tree,9,0
Chinese celery seed,9,0
Tulbaghia violacea,9,0
Blond psyllium,9,4
Milk thistle seed,9,0
Sweet almond oil,9,4
Yellow horn,9,0
Khaya senegalensis,8,0
Sweet cicely oil,8,0
Aralia continentalis,8,0
